name,arity_profile,avg_arity,max_arity,min_arity,n_components,n_components_d,n_edges,n_edges_d,n_exist_vars,n_facts,n_nodes,n_nodes_d,n_predicates,n_rules,n_shapes,n_spacial_components,n_spacial_components_d,n_special_edges,n_special_edges_d,predicate_profile,rule_profile,t_component,t_graph,t_graph_d,t_parse,t_shapes,t_terminate_graph_avg,t_terminate_graph_d,t_terminate_graph_std,t_vlog,terminates_graph,total_t
\arity\program-266-small.res,[1-5], 3.0056338028169014, 5.0, 1.0, 0, 159, 2464611, 2390728, 373755, 35500000, 1067, 14702, 355.0, 747383, 1980, 0, 1, 494067, 379638, [200-400), [666666-999999), 154.00578, 67185.32, 14074.684, 13534.019, 15856.764,NaN, 30085.453,NaN,null, false, 111432.36
\arity\program-472-small.res,[1-10], 5.385964912280702, 10.0, 1.0, 0, 1, 246970, 398153, 44388, 5700000, 307, 130103, 57.0, 88388, 1941, 0, 1, 73379, 64845, [5-200), [0-333333), 65.7709, 4385.716, 194879.39, 2728.7173, 5938.4707,NaN, 200883.62,NaN,null, false,null
\predicate\program-112-small.res,[1-5], 3.075187969924812, 5.0, 1.0, 0, 43, 459230, 1711104, 309139, 13300000, 409, 4887, 133.0, 619796, 751, 0, 1, 154729, 284673, [5-200), [333333-666666), 106.0497, 31845.754, 12023.542, 11367.384, 6512.253,NaN, 18641.844,NaN,null, false,null
\rules\program-630-small.res,[1-5], 3.0085836909871246, 5.0, 1.0, 0, 6000, 610202, 233698, 31710, 46600000, 1402, 17554, 466.0, 63694, 2569, 0, 1, 57375, 35387, [400-600], [0-333333), 53.768257, 3417.5442, 1010.64594, 1429.3844, 21211.078,NaN, 22275.492,NaN,null, false, 27288.541
\rules\program-182-small.res,[1-10], 5.25, 10.0, 1.0, 0, 100533, 253240, 351471, 38758, 6000000, 315, 105969, 60.0, 77773, 1874, 0, 1, 70653, 57154, [5-200), [0-333333), 137.20312, 6179.287, 159770.97, 2364.6182, 5060.5757,NaN, 164968.75,NaN,null, false, 173656.48
\rules\program-315-small.res,[1-5], 2.9680851063829787, 5.0, 1.0, 0, 160, 1226592, 830948, 125061, 28200000, 837, 10871, 282.0, 250071, 1519, 0, 1, 187035, 129683, [200-400), [0-333333), 69.67528, 17703.328, 3619.3582, 4921.8335, 12694.246,NaN, 16383.279,NaN,null, false, 39341.12
\arity\program-122-small.res,[1-5], 2.882716049382716, 5.0, 1.0, 0, 57, 587325, 1729175, 355401, 16200000, 467, 5823, 162.0, 711373, 832, 0, 1, 189239, 283974, [5-200), [666666-999999), 104.21094, 28139.664, 13907.722, 12963.179, 7446.808,NaN, 21458.74,NaN,null, false, 62872.14
\predicate\program-324-small.res,[1-5], 2.8978723404255318, 5.0, 1.0, 0, 330, 724225, 442579, 68004, 23500000, 681, 8830, 235.0, 136035, 1234, 0, 1, 100440, 68517, [200-400), [0-333333), 35.16811, 5703.512, 1979.3949, 2683.3696, 10668.907,NaN, 12683.471,NaN,null, false,null
\arity\program-375-small.res,[1-5], 3.018329938900204, 5.0, 1.0, 0, 318, 2627457, 1332511, 188738, 49100000, 1482, 19892, 491.0, 377137, 2738, 0, 1, 317456, 206049, [400-600], [333333-666666), 103.359535, 28247.56, 5582.752, 7269.387, 22237.264,NaN, 27923.375,NaN,null, false, 64072.117
\predicate\program-303-small.res,[1-5], 3.0135135135135136, 5.0, 1.0, 0, 434, 1453035, 725025, 103747, 37000000, 1115, 15305, 370.0, 207107, 2087, 0, 1, 172712, 111705, [200-400), [0-333333), 73.50853, 12202.594, 2940.1394, 4029.0298, 17368.975,NaN, 20382.623,NaN,null, false,null
\rules\program-109-small.res,[1-5], 2.960526315789474, 5.0, 1.0, 0, 63, 554050, 2295848, 483250, 15200000, 450, 6130, 152.0, 964997, 832, 0, 1, 183889, 377846, [5-200), [666666-999999), 108.032646, 43487.34, 21454.764, 17348.457, 7548.6724,NaN, 29111.469,NaN,null, false, 90303.09
\predicate\program-226-small.res,[1-5], 3.0, 5.0, 1.0, 0, 71, 759723, 1956820, 362209, 17800000, 534, 7215, 178.0, 724062, 993, 0, 1, 239210, 317769, [5-200), [666666-999999), 100.42314, 31455.674, 13486.236, 12980.035, 8279.892,NaN, 21866.55,NaN,null, false,null
\predicate\program-331-small.res,[1-5], 3.068840579710145, 5.0, 1.0, 0, 742, 812782, 397303, 55338, 27600000, 847, 12437, 276.0, 110829, 1627, 0, 1, 95738, 61359, [200-400), [0-333333), 66.004326, 4118.2275, 1919.0797, 2483.4973, 26551.182,NaN, 28536.266,NaN,null, false,null
\arity\program-638-small.res,[1-10], 5.745501285347044, 10.0, 1.0, 0, 236769, 2561701, 610149, 57155, 38900000, 2235, 244158, 389.0, 114254, 14603, 0, 2, 217660, 97686, [200-400), [0-333333), 300.5094, 14410.64, 386128.03, 3469.6433, 29668.41,NaN, 416096.94,NaN,null, false, 434460.66
\arity\program-475-small.res,[1-10], 4.7, 9.0, 2.0, 0, 1, 6301, 755203, 131013, 1000000, 47, 60162, 10.0, 262495, 187, 0, 1, 2209, 128804, [5-200), [0-333333), 64.30124, 2646.1987, 46972.453, 6589.348, 1399.7798,NaN, 48436.535,NaN,null, false,null
\predicate\program-725-small.res,[1-5], 2.9829268292682927, 5.0, 1.0, 0, 159, 2778684, 2028282, 305462, 41000000, 1223, 15759, 410.0, 610878, 2242, 0, 1, 449928, 317904, [400-600], [333333-666666), 125.59731, 48984.7, 9811.835, 11344.951, 19044.521,NaN, 28981.953,NaN,null, false,null
